what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.import,1243865590216
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.import,1243865590217
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1243865590295
started,bundle,org.springframework.ide.eclipse.webflow.ui,2.2.0.zmyeclipse7102009030516,org.springframework.ide.eclipse.webflow.ui,1243865590428
started,bundle,org.eclipse.wst.dtd.core,1.1.200.v200805140200,org.eclipse.wst.dtd.core,1243865590832
started,bundle,org.eclipse.wst.sse.core,1.1.302.zmyeclipse7102009030516,org.eclipse.wst.sse.core,1243865590937
started,bundle,org.eclipse.wst.sse.ui,1.1.3.zmyeclipse7102009030516,org.eclipse.wst.sse.ui,1243865591008
started,bundle,org.springframework.ide.eclipse.webflow.core,2.2.0.zmyeclipse7102009030516,org.springframework.ide.eclipse.webflow.core,1243865591083
started,bundle,org.eclipse.wst.html.ui,1.0.302.zmyeclipse7102009030516,org.eclipse.wst.html.ui,1243865591159
started,bundle,org.eclipse.jst.jsp.core,1.2.120.zmyeclipse7102009030516,org.eclipse.jst.jsp.core,1243865592057
started,bundle,org.eclipse.wst.wsdl.validation,1.1.302.v200807240215,org.eclipse.wst.wsdl.validation,1243865593002
started,bundle,org.eclipse.wst.xsd.core,1.1.302.v200810020300,org.eclipse.wst.xsd.core,1243865593125
started,bundle,org.tigris.subversion.clientadapter.javahl,1.5.6.1,org.tigris.subversion.clientadapter.javahl,1243865593948
started,bundle,com.genuitec.eclipse.maven,7.1.0.zmyeclipse7102009030516,com.genuitec.eclipse.maven,1243865595382
started,bundle,org.maven.ide.components.maven_model_edit,1.0.0.zmyeclipse7102009030516,org.maven.ide.components.maven_model_edit,1243865619012
started,bundle,org.maven.ide.eclipse,0.9.6.zmyeclipse7102009030516,org.maven.ide.eclipse,1243865619546
started,bundle,org.hibernate.eclipse.jdt.ui,3.2.4.CR1-zmyeclipse7102009030516,org.hibernate.eclipse.jdt.ui,1243865619619
started,bundle,org.eclipse.jdt.apt.core,3.3.101.R34x_v20090114-1205,org.eclipse.jdt.apt.core,1243865619725
activated,view,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.internal.introview,1243865619787
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1243865619824
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.101.R34x_v20081108-1950,org.eclipse.jdt.apt.pluggable.core,1243865619864
closed,view,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.internal.introview,1243865619909
started,bundle,org.maven.ide.eclipse.jdt,0.9.6.zmyeclipse7102009030516,org.maven.ide.eclipse.jdt,1243865619938
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1243865620204
started,bundle,com.genuitec.eclipse.javascript,7.1.0.zmyeclipse7102009030516,com.genuitec.eclipse.javascript,1243865620781
